,,,,,,,,,
,Player,# of Immunity Challenges Won,Season #,Season Name,Sex,Count,,,
,Colby Donaldson,5,2,Australian Outback,Male,0,,,"1 - Kelly(4), Richard(1), Gervase(1), Greg(1), Rudy(1) / 8"
,Tom Westman,5,10,Palau,Male,0,,,"2 - Colby(5), Keith(2), Nick(1) / 8"
,Terry Deitz,5,12,Panama,Male,0,,,"3 - Lex(3), Kim(2), Ethan(1), Tom(1), Teresa(1) / 8"
,Ozzy Lusth,5,13,Cook Islands,Male,0,,,"4 - Kathy(2), Vecepia(2), Tammy(2), Robert(1), Neleh(1) / 8"
,Mike Holloway,5,30,Worlds Apart,Male,0,,,"5 - Brian(3), Helen(1), Ted(1), Clay(1) / 6"
,Brad Culpepper,5,34,Game Changers,Male,0,,,"6 - Jenna(4), Matthew(2), Deena(1), Rob(1) / 8"
,Kelly Wiglesworth,4,1,Borneo,Female,4,,,"7 - Darrah(3), Burton(2), Rupert(1), Lillian(1) / 7"
,Jenna Morasca,4,6,The Amazon,Female,4,,,"8 - Rob(4), Tom(1), Amber(1), Kathy(1), Shii Ann(1) / 8"
,Rob Mariano,4,8,All Stars,Male,0,,,"9 - Chris(3), Ami(2), John K(1), Lea(1), Eliza(1), Twila(1) / 9"
,Rafe Judkins,4,11,Guatemala,Male,0,,,"10 - Tom(5), Ian(2) / 7"
,Fabio Birza,4,21,Nicaragua,Male,0,,,"11 - Rafe(4), Danni(2), Steph(1), Gary(1), Jamie(1) / 9"
,Rob Mariano,4,22,Redemption Island,Male,0,,,"12 - Terry(5), Aras(1), Danielle(1) / 7"
,Kim Spradlin,4,24,One World,Female,4,,,"13 - Ozzy(5), Adam(1) / 6"
,Joe Anglim,4,31,Cambodia,Male,0,,,"14 - Yau-Man(2), Boo(2), Stacy(1), Dreamz(1) / 6"
,Ken McNickle,4,33,Millennials vs Gen X,Male,0,,,"15 - Amanda(2), Peih-Gee(2), Erik(1), Frosti(1), Courtney(1) / 7"
,Chrissy Hofbeck,4,35,Heroes vs Healers vs Hustlers,Female,4,,,"16 - Erik(3), Amanda (2), Parvati(1), Jason(1) / 7"
,Rick Devens,4,38,Edge of Extinction,Male,0,,,"17 - Bob(3), Susie(2), Marcus(2), GC(1), Ken(1) / 9"
,Tony Vlachos,4,40,Winners at War,Male,0,,,"18 - JT(3), Tyson(2), Stephen(1), Coach(1), Debbie(1) / 8"
,Lex van den Berghe,3,3,Africa,Male,0,,,"19 - Brett(3), Jaison(2), Laura(2), Mick(1), John(1), Russell(1) / 10"
