,,,,,,,,
,Season,First,Second,Third,# of Men,# of Women,Total Votes for Men,Total Votes for Women
,1,Richard,Kelly,N/A,1,1,4,3
,,4,3,0,,,,
,2,Tina,Colby,N/A,1,1,3,4
,,4,3,0,,,,
,3,Ethan,Kim,N/A,1,1,5,2
,,5,2,0,,,,
,4,Vecepia,Neleh,N/A,0,2,0,7
,,3,3,0,,,,
,5,Brian,Clay,N/A,2,0,7,0
,,4,3,0,,,,
,6,Jenna,Matt,N/A,1,1,1,6
,,6,1,0,,,,
,7,Sandra,Lil,N/A,0,2,0,7
,,6,1,0,,,,
,8,Amber,Rob,N/A,1,1,3,4
,,4,3,0,,,,
,9,Chris,Twila,N/A,1,1,5,2
,,5,2,0,,,,
,10,Tom,Katie,N/A,1,1,6,1
,,6,1,0,,,,
,11,Dannie,Stephenie,N/A,0,2,0,7
,,6,1,0,,,,
,12,Aras,Danielle,N/A,1,1,5,2
,,5,2,0,,,,
,13,Yul,Ozzy,Becky,2,1,9,0
,,5,4,0,,,,
,14,Earl,Dreamz,Cassandra,2,1,9,0
,,9,0,0,,,,
,15,Todd,Courtney,Amanda,1,2,4,3
,,4,2,1,,,,
,16,Parvati,Amanda,N/A,0,2,0,8
,,5,3,0,,,,
,17,Bob,Susie,Sugar,1,2,4,3
,,4,3,0,,,,
,18,JT,Stephen,N/A,2,0,7,0
,,7,0,0,,,,
,19,Natalie,Russell,Mick,2,1,2,7
,,7,2,0,,,,
,20,Sandra,Parvati,Russell,1,2,0,9
,,6,3,0,,,,
,21,Fabio,Chase,Sash,3,0,9,0
,,5,4,0,,,,
,22,Rob,Phillip,Natalie,2,1,9,0
,,8,1,0,,,,
,23,Sophie,Coach,Albert,2,1,3,6
,,6,3,0,,,,
,24,Kim,Sabrina,Chelsea,0,3,0,9
,,7,2,0,,,,
,25,Denise,Michael,Lisa,1,2,1,7
,,6,1,1,,,,
,26,Cochran,Dawn,Sherri,1,2,8,0
,,8,0,0,,,,
,27,Tyson,Monica,Gervase,2,1,7,1
,,7,1,0,,,,
,28,Tony,Woo,N/A,2,0,9,0
,,8,1,0,,,,
,29,Natalie,Jaclyn,Missy,0,3,0,8
,,5,2,1,,,,
,30,Mike,Carolyn,Will,2,1,7,1
,,6,1,1,,,,
,31,Jeremy,Spencer,Tasha,2,1,10,0
,,10,0,0,,,,
,32,Michele,Aubry,Tai,1,2,0,7
,,5,2,0,,,,
,33,Adam,Hannah,Ken,2,1,10,0
,,10,0,0,,,,
,34,Sarah,Brad,Troyzan,2,1,3,7
,,7,3,0,,,,
,35,Ben,Chrissy,Ryan,2,1,6,2
,,5,2,1,,,,
,36,Wendell,Domenick,Laurel,2,1,11,0
,,6,5,0,,,,
,37,Nick,Mike,Angelina,2,1,10,0
,,7,3,0,,,,
,38,Chris,Gavin,Julie,2,1,13,0
,,9,4,0,,,,
,39,Tommy,Dean,Noura,2,1,10,0
,,8,2,0,,,,
,40,Tony,Natalie,Michele,1,2,12,4
,,12,4,0,,,,
,,,,,,,,
,,,,,54,51,212,127
,,,,,45,37,180,81
